Date,r1_tmin,r2_tmin,r1_tmax,r2_tmax,r1_tavg,r2_tavg,r1_pcp,r2_pcp
197704,29.2,29.6,59.9,53.0,44.6,41.3,0.39,4.19
197705,35.3,40.6,56.0,70.0,45.7,55.3,3.28,1.57
197706,47.4,49.2,76.1,70.1,61.7,59.6,1.52,4.29
197707,49.2,52.6,78.8,77.3,64.0,65.0,1.44,2.37
197708,49.2,52.4,78.6,74.2,63.9,63.3,1.59,5.01
197709,40.7,46.8,66.8,63.9,53.7,55.4,2.06,6.35
197710,31.3,33.9,57.6,53.8,44.4,43.8,0.99,6.26
197711,22.6,28.8,39.3,44.6,31.0,36.7,3.21,4.49
197712,21.8,11.0,34.1,27.4,27.9,19.2,5.55,4.68
197801,21.4,4.8,33.8,23.3,27.6,14.0,3.32,6.45
197802,22.3,-3.0,36.8,22.8,29.6,9.9,2.86,0.9
197803,26.4,12.9,48.5,34.6,37.4,23.8,1.57,2.9
197804,31.5,26.7,50.7,46.7,41.1,36.7,3.29,2.78
197805,35.5,42.6,57.2,68.0,46.3,55.3,2.26,2.44
197806,41.7,49.2,71.0,73.0,56.4,61.1,0.89,6.06
197807,49.1,52.9,79.2,78.3,64.2,65.6,1.25,3.3
197808,46.0,53.4,76.5,75.2,61.2,64.3,1.24,3.65
197809,41.0,39.4,65.8,65.0,53.4,52.2,2.13,2.29
197810,29.4,32.8,60.8,53.7,45.1,43.3,0.11,4.2
197811,19.2,21.7,37.6,43.7,28.4,32.7,1.74,1.79
197812,9.0,11.9,26.4,30.6,17.6,21.2,2.58,3.49
197901,1.8,8.2,20.7,25.4,11.2,16.8,2.36,7.13
197902,18.7,-2.7,34.2,18.4,26.4,7.8,3.37,1.57
197903,22.6,24.0,44.4,42.9,33.5,33.5,1.68,2.96
197904,28.6,30.8,51.0,50.4,39.8,40.6,1.73,3.49
197905,36.7,43.9,63.2,65.8,50.0,54.9,1.56,5.2
197906,42.3,48.5,73.3,73.9,57.8,61.2,0.88,1.78
197907,48.8,55.9,81.8,79.5,65.3,67.7,0.58,3.33
197908,49.2,53.0,78.4,72.9,63.8,62.9,1.58,4.74
197909,41.3,42.6,75.4,67.5,58.4,55.0,0.27,4.33
197910,33.9,36.7,59.1,53.1,46.5,44.9,2.27,3.61
197911,17.5,30.5,37.2,47.1,27.3,38.8,1.49,3.64
197912,20.3,16.2,36.4,33.7,28.4,24.9,2.08,2.15
198001,13.9,9.3,29.5,27.6,21.7,18.4,4.31,1.34
198002,23.1,4.6,39.1,25.1,31.1,14.8,2.41,0.96
198003,23.4,17.0,41.4,37.4,32.4,27.2,2.35,3.94
198004,31.1,31.4,56.6,51.9,43.9,41.6,1.63,3.14
198005,38.7,39.8,59.7,66.6,49.2,53.2,4.46,1.9
198006,42.0,46.4,67.8,70.6,54.9,58.5,2.09,3.15
198007,49.4,55.1,79.4,77.9,64.4,66.5,1.05,4.06
198008,45.0,54.2,75.3,76.6,60.2,65.4,0.89,3.63
198009,42.1,44.2,68.4,67.2,55.2,55.7,2.41,4.39
198010,30.7,33.3,57.4,51.7,44.1,42.5,0.98,3.45
198011,23.8,22.0,42.0,37.4,32.9,29.7,2.37,3.78
198012,21.4,1.2,36.8,25.6,29.1,13.4,3.72,2.03
198101,21.6,-4.9,36.8,19.0,29.2,7.1,1.41,0.7
198102,19.3,17.8,39.4,38.0,29.3,27.9,2.41,6.74
198103,25.2,20.6,47.9,39.1,36.5,29.8,2.06,1.31
198104,31.0,32.0,53.6,54.7,42.3,43.3,2.62,3.37
198105,37.6,41.3,58.7,67.3,48.1,54.3,3.24,3.81
198106,42.9,49.8,67.9,73.7,55.4,61.7,2.42,4.02
198107,47.3,55.2,80.3,77.6,63.8,66.4,0.73,4.87
198108,49.2,51.4,84.1,74.2,66.7,62.8,0.26,4.58
198109,41.0,46.0,72.2,64.5,56.6,55.2,0.86,6.0
198110,30.9,31.4,52.2,51.4,41.6,41.4,2.08,5.8
198111,26.1,26.4,43.9,42.1,35.0,34.3,3.58,2.5
198112,20.6,15.3,34.6,29.7,27.6,22.5,4.47,3.67
198201,12.6,-5.7,28.9,18.4,20.8,6.4,3.72,3.06
198202,13.4,6.3,32.0,28.1,22.7,17.2,3.35,3.09
198203,24.8,15.6,42.2,37.7,33.5,26.7,3.32,2.85
198204,24.6,26.2,47.8,49.1,36.2,37.7,2.8,3.46
198205,34.1,41.5,60.0,68.1,47.0,54.8,1.56,1.75
198206,43.9,48.3,70.2,68.9,57.1,58.6,1.77,6.53
198207,49.4,52.2,76.4,78.7,62.9,65.4,1.81,2.42
198208,49.5,49.3,80.6,72.7,65.1,61.0,0.8,3.52
198209,41.5,46.0,66.3,68.4,53.9,57.2,2.44,2.79
198210,31.9,33.7,51.8,57.1,41.9,45.4,2.61,2.08
198211,19.6,28.8,36.2,46.3,28.0,37.5,2.57,4.13
198212,16.5,18.0,30.4,37.4,23.5,27.7,3.8,2.24
198301,21.3,8.9,35.5,27.9,28.4,18.4,2.57,3.76
198302,22.3,9.9,38.7,31.5,30.5,20.7,2.95,2.25
198303,27.7,22.5,44.4,39.0,36.0,30.7,3.85,4.09
198304,26.8,31.3,48.8,49.1,37.8,40.2,1.69,6.02
198305,35.6,40.4,60.7,60.3,48.2,50.3,1.87,6.77
198306,42.6,49.0,68.6,76.1,55.6,62.6,2.04,2.63
198307,47.7,54.0,76.0,79.3,61.8,66.6,2.2,2.86
198308,52.6,53.5,80.0,76.4,66.3,65.0,2.02,6.12
198309,39.8,46.1,68.1,71.2,54.0,58.7,1.47,2.37
198310,33.6,34.3,56.8,55.8,45.2,45.0,1.6,3.4
198311,26.8,27.1,40.0,42.0,33.4,34.5,4.81,7.36
198312,10.2,10.1,24.4,27.4,17.3,18.7,4.34,6.47
198401,12.3,2.6,27.8,24.2,20.0,13.4,1.75,1.55
198402,14.1,17.3,33.1,36.6,23.6,26.9,2.11,3.28
198403,24.0,11.1,41.6,32.0,32.8,21.5,2.76,3.29
198404,28.1,31.4,48.2,52.6,38.2,42.0,2.43,3.24
198405,36.1,39.1,59.3,61.1,47.7,50.1,2.7,9.08
198406,41.9,49.3,66.6,75.5,54.2,62.4,2.99,2.75
198407,50.4,54.4,80.7,77.1,65.6,65.8,1.46,5.6
198408,50.6,55.8,80.3,77.7,65.5,66.8,1.29,3.26
198409,38.6,41.4,66.4,65.7,52.5,53.6,1.24,2.26
198410,29.1,36.1,50.0,58.6,39.6,47.4,2.0,2.81
198411,24.3,24.8,38.2,42.9,31.3,33.9,3.98,3.6
198412,9.4,18.0,26.7,35.2,18.1,26.6,2.64,3.89
198501,8.2,2.3,26.5,20.6,17.3,11.5,0.68,1.65
198502,8.0,10.7,29.3,30.3,18.6,20.5,1.93,2.35
198503,16.6,18.3,39.0,40.6,27.8,29.4,2.08,3.11
198504,30.6,30.4,56.5,52.3,43.5,41.4,1.11,2.3
198505,37.8,40.3,64.9,66.1,51.4,53.2,2.14,3.48
198506,43.8,47.6,73.5,68.3,58.6,58.0,0.92,3.85
198507,52.7,52.9,85.5,78.2,69.1,65.6,0.91,3.23
198508,45.2,51.4,76.5,74.2,60.9,62.8,0.79,4.24
198509,37.7,46.0,60.7,68.4,49.2,57.2,3.24,4.58
198510,29.5,35.1,53.0,56.8,41.2,46.0,1.95,3.53
198511,15.0,27.2,30.5,41.9,22.7,34.5,3.06,4.7
198512,7.0,9.0,24.4,26.4,15.7,17.7,1.33,2.39
198601,17.2,5.8,34.2,27.6,25.7,16.7,2.74,4.73
198602,23.6,4.2,38.6,26.2,31.1,15.2,5.74,2.22
198603,28.8,19.3,50.7,41.0,39.8,30.1,2.3,3.97
198604,29.9,33.5,52.2,57.9,41.0,45.7,2.35,1.67
198605,36.7,43.7,63.0,67.6,49.8,55.7,2.1,4.24
198606,46.8,46.4,77.6,70.5,62.2,58.5,1.11,5.0
198607,46.6,54.0,75.9,74.8,61.2,64.4,1.01,5.64
198608,50.2,52.1,83.2,73.0,66.7,62.5,0.91,5.24
198609,39.1,43.6,60.6,64.3,49.9,53.9,2.76,3.81
198610,32.0,34.1,57.8,54.7,44.9,44.4,0.86,2.52
198611,23.8,22.6,40.6,39.3,32.2,30.9,2.58,4.25
198612,15.2,16.4,33.6,31.6,24.4,24.0,0.62,3.18
198701,12.3,5.5,30.1,25.5,21.2,15.5,2.0,3.45
198702,20.7,1.7,39.2,25.8,30.0,13.7,1.62,0.49
198703,25.5,19.4,45.2,41.9,35.4,30.6,2.35,2.14
198704,32.0,33.8,62.4,56.6,47.2,45.2,0.92,3.48
198705,40.4,40.4,65.9,65.4,53.1,52.9,2.75,2.11
198706,45.2,50.9,74.5,73.0,59.8,62.0,1.39,6.0
198707,48.5,55.5,76.7,78.9,62.6,67.2,1.98,3.93
198708,45.6,49.5,77.8,73.8,61.7,61.7,0.63,3.21
198709,40.3,46.2,75.2,65.1,57.8,55.6,0.12,5.88
198710,30.8,31.7,63.6,54.2,47.2,43.0,0.17,5.79
198711,25.0,24.2,42.3,42.4,33.7,33.3,1.67,3.14
198712,16.6,18.7,32.1,32.2,24.4,25.5,2.82,2.13
198801,12.7,4.1,29.4,26.7,21.1,15.4,2.49,1.8
198802,18.7,6.8,40.1,30.0,29.4,18.4,1.34,2.93
198803,23.0,16.4,44.5,38.0,33.8,27.2,2.26,1.85
198804,31.4,31.6,57.0,50.8,44.3,41.2,2.43,3.68
198805,36.5,43.0,62.9,66.8,49.7,54.9,2.15,2.61
198806,47.3,45.4,76.5,72.8,61.9,59.1,1.15,2.1
198807,50.3,57.2,83.5,79.9,66.9,68.5,0.31,4.76
198808,46.6,55.7,81.8,77.5,64.2,66.6,0.23,5.73
198809,39.3,42.4,69.7,66.1,54.5,54.2,0.64,2.19
198810,36.8,32.7,66.0,50.4,51.4,41.6,0.51,2.46
198811,24.5,26.5,37.6,43.2,31.1,34.9,5.09,5.86
198812,14.3,9.0,29.5,29.0,21.9,19.0,1.89,1.67
198901,12.2,9.6,29.3,31.2,20.8,20.4,2.97,1.52
198902,9.3,6.8,28.5,27.5,18.9,17.1,1.46,1.96
198903,25.4,14.7,42.6,37.4,34.0,26.0,4.22,2.95
198904,31.7,27.0,56.8,48.0,44.2,37.5,1.22,3.03
198905,35.8,43.5,61.2,67.0,48.5,55.3,2.04,5.62
198906,44.0,51.7,72.6,73.2,58.3,62.4,1.1,5.0
198907,51.2,54.0,84.1,78.2,67.7,66.2,0.48,3.44
198908,47.2,52.4,75.8,74.1,61.5,63.3,1.51,5.9
198909,40.2,46.3,71.2,68.1,55.7,57.2,1.02,4.97
198910,32.5,35.5,54.7,57.2,43.6,46.3,1.83,4.72
198911,24.6,23.8,42.8,41.4,33.7,32.6,2.11,4.29
198912,17.5,-7.0,34.8,16.1,26.1,4.5,1.0,1.52
199001,19.5,17.5,34.2,34.9,26.9,26.2,3.59,4.19
199002,14.8,8.8,35.1,32.6,24.9,20.7,1.94,3.26
199003,24.5,18.5,47.8,42.0,36.1,30.2,1.54,3.01
199004,33.7,32.1,58.4,52.4,46.1,42.3,2.59,3.84
199005,35.4,38.2,59.2,61.1,47.3,49.6,3.14,5.49
199006,43.3,50.3,71.0,73.3,57.2,61.8,1.44,4.53
199007,50.8,54.6,82.1,77.9,66.4,66.2,0.76,3.76
199008,49.7,55.0,79.5,76.7,64.6,65.8,1.38,7.32
199009,45.5,45.6,77.8,65.8,61.7,55.7,0.37,2.86
199010,30.8,38.4,54.6,57.6,42.7,48.0,2.05,6.85
199011,24.1,26.8,42.1,44.2,33.1,35.5,2.59,3.71
199012,4.9,17.4,24.1,35.9,14.5,26.6,2.02,5.43
199101,12.0,5.8,29.7,25.7,20.9,15.7,1.83,2.71
199102,24.3,12.8,44.5,33.9,34.4,23.4,1.06,1.36
199103,23.3,22.7,43.0,39.7,33.2,31.2,2.85,3.57
199104,28.6,33.4,50.0,56.6,39.4,45.0,2.57,3.29
199105,35.5,42.8,57.5,69.3,46.5,56.1,3.26,3.61
199106,41.4,49.3,68.0,75.0,54.7,62.1,1.86,2.7
199107,50.0,53.3,82.5,77.7,66.3,65.5,0.52,2.65
199108,51.1,55.2,83.1,76.6,67.1,65.9,0.63,6.16
199109,41.9,42.3,72.2,65.2,57.0,53.8,0.97,5.07
199110,31.0,36.5,57.6,58.5,44.3,47.5,1.38,4.81
199111,22.5,26.9,36.9,42.8,29.7,34.8,3.76,2.66
199112,17.5,11.2,34.1,31.3,25.8,21.3,1.73,3.17
199201,17.4,6.3,34.7,26.6,26.0,16.4,1.27,2.51
199202,24.8,8.1,43.9,29.0,34.4,18.5,1.79,2.4
199203,28.6,13.0,53.4,34.6,41.0,23.8,0.87,3.28
199204,33.1,28.4,58.3,48.3,45.7,38.3,1.96,2.92
199205,40.3,38.4,70.2,66.5,55.3,52.5,0.65,2.4
199206,46.5,47.9,74.4,71.7,60.4,59.8,2.26,3.02
199207,47.7,51.1,77.0,72.7,62.4,61.9,1.22,4.36
199208,48.6,52.2,81.2,72.8,64.9,62.5,0.44,3.8
199209,39.4,44.8,69.0,67.5,54.2,56.2,1.15,4.13
199210,34.6,32.0,59.8,50.6,47.2,41.3,1.5,3.03
199211,20.5,25.0,35.4,39.7,28.0,32.4,2.51,4.52
199212,12.6,15.5,27.8,32.3,20.2,23.9,3.34,2.19
199301,10.5,10.6,27.7,28.7,19.1,19.6,2.81,3.19
199302,13.1,-3.8,31.9,22.2,22.5,9.2,1.78,2.85
199303,25.8,13.2,44.2,37.2,35.0,25.2,2.95,3.52
199304,29.7,30.9,49.5,52.8,39.6,41.8,3.24,4.1
199305,40.5,40.7,67.1,65.2,53.8,52.9,2.2,2.23
199306,41.6,48.2,65.6,71.8,53.6,60.0,3.33,4.25
199307,43.5,55.1,69.0,78.3,56.2,66.7,1.98,3.47
199308,45.2,54.4,74.3,77.0,59.7,65.7,1.4,3.47
199309,38.9,45.5,70.2,65.1,54.6,55.3,0.31,4.62
199310,33.1,32.2,57.1,52.8,45.1,42.5,1.28,3.35
199311,15.8,24.3,37.5,42.7,26.6,33.5,0.97,3.5
199312,17.3,13.4,32.8,30.2,25.1,21.7,1.83,3.24
199401,21.2,-6.7,36.2,17.5,28.7,5.4,1.89,4.16
199402,15.8,0.8,34.6,24.2,25.2,12.4,2.57,1.54
199403,24.5,18.1,50.2,36.2,37.4,27.1,0.87,4.16
199404,32.0,29.8,55.8,52.1,43.9,40.9,1.98,4.21
199405,39.7,38.5,65.7,63.0,52.7,50.7,2.02,4.23
199406,43.2,52.4,73.5,75.7,58.4,64.1,1.12,4.23
199407,50.5,58.2,83.8,79.2,67.2,68.7,0.53,4.68
199408,50.0,51.2,84.1,73.4,67.0,62.3,0.37,5.08
199409,42.6,45.5,75.1,64.5,58.9,55.0,0.61,3.95
199410,31.7,34.6,53.8,56.8,42.8,45.7,2.35,0.95
199411,17.5,27.8,32.9,47.3,25.2,37.6,3.41,3.13
199412,17.4,16.9,31.6,35.1,24.5,26.0,2.67,2.76
199501,19.6,16.4,33.6,31.8,26.6,24.1,3.55,3.13
199502,23.5,4.9,43.1,26.5,33.3,15.7,1.75,2.43
199503,24.2,22.4,43.3,42.2,33.8,32.3,4.07,2.35
199504,28.8,26.1,50.8,46.7,39.8,36.4,2.39,2.18
199505,37.0,39.6,59.7,62.8,48.3,51.3,2.98,2.48
199506,42.3,49.5,66.6,77.4,54.4,63.4,3.19,1.35
199507,48.5,57.5,78.3,80.2,63.4,68.8,1.39,4.82
199508,46.0,52.8,79.0,76.9,62.5,64.8,0.87,4.5
199509,41.6,40.8,71.9,65.3,56.8,53.1,0.82,3.44
199510,29.6,38.8,53.4,60.2,41.5,49.5,1.97,8.14
199511,28.1,23.6,45.0,38.7,36.6,31.2,4.2,4.41
199512,19.4,9.9,34.4,24.8,26.8,17.3,3.93,2.96
199601,16.3,4.8,31.7,25.5,24.0,15.1,4.07,4.81
199602,17.2,9.5,36.8,27.4,27.0,18.4,3.17,2.55
199603,24.2,15.0,45.4,36.7,34.8,25.9,2.07,1.68
199604,30.1,30.0,52.7,49.6,41.4,39.8,3.09,6.51
199605,35.7,38.6,57.3,61.9,46.5,50.2,3.75,5.58
199606,43.1,52.3,73.4,72.9,58.3,62.6,0.76,4.45
199607,50.3,54.7,83.6,75.2,67.0,64.9,0.48,7.44
199608,47.6,53.5,81.4,76.2,64.5,64.8,0.34,2.37
199609,38.4,48.2,66.6,67.9,52.5,58.1,0.97,3.5
199610,31.4,34.2,55.4,54.9,43.4,44.6,1.95,4.95
199611,24.8,22.5,41.8,38.1,33.4,30.3,3.71,3.41
199612,18.8,23.1,31.9,35.3,25.3,29.2,7.74,5.37
199701,16.4,6.2,31.8,25.8,24.1,15.9,4.44,3.26
199702,17.4,12.6,36.2,33.8,26.8,23.2,1.59,2.59
199703,23.7,14.5,45.4,35.1,34.6,24.8,2.64,3.9
199704,27.5,26.6,49.5,49.2,38.5,37.9,2.68,3.01
199705,38.5,37.2,66.2,57.9,52.3,47.6,1.67,3.79
199706,44.6,49.5,69.8,75.5,57.2,62.5,2.13,2.7
199707,48.2,52.2,77.5,76.4,62.9,64.3,1.79,4.56
199708,49.5,51.7,80.5,74.0,65.0,62.9,1.12,5.88
199709,43.8,44.7,71.0,65.8,57.4,55.3,1.7,3.08
199710,31.5,32.8,54.2,54.5,42.8,43.7,2.29,2.15
199711,24.5,23.8,43.1,40.1,33.8,32.0,1.74,5.14
199712,15.2,14.1,31.7,31.4,23.4,22.7,1.49,2.72
199801,20.7,13.3,35.1,30.1,27.9,21.7,4.09,5.88
199802,20.8,16.1,38.0,36.0,29.4,26.1,1.98,2.35
199803,24.0,21.6,44.1,41.0,34.0,31.3,2.17,3.73
199804,29.7,30.6,53.0,55.8,41.3,43.2,1.79,2.52
199805,37.4,45.2,60.6,71.0,49.0,58.1,4.63,2.83
199806,41.6,52.7,65.5,71.0,53.6,61.8,2.77,8.77
199807,53.3,54.6,84.8,76.6,69.1,65.6,1.18,5.14
199808,50.3,53.9,83.6,76.3,67.0,65.1,0.37,4.73
199809,46.4,46.6,74.3,69.0,60.4,57.8,1.84,3.97
199810,31.2,37.8,55.4,55.5,43.3,46.7,0.86,3.02
199811,27.5,29.1,41.1,41.9,34.3,35.5,3.96,2.9
199812,15.0,19.4,30.1,39.0,22.6,29.2,3.31,1.69
199901,19.9,6.5,34.3,27.4,27.1,17.0,3.33,5.73
199902,18.4,11.1,35.5,33.3,27.0,22.2,4.49,1.53
199903,22.5,19.7,45.0,38.0,33.8,28.9,1.61,4.14
199904,26.9,29.4,50.5,53.1,38.7,41.3,1.58,0.88
199905,34.1,42.3,59.1,68.8,46.6,55.5,2.21,3.5
199906,42.6,52.3,68.6,78.4,55.6,65.4,1.83,2.56
199907,46.8,56.6,80.5,80.4,63.7,68.5,0.26,3.79
199908,49.8,52.3,80.9,75.0,65.4,63.6,1.06,2.76
199909,38.0,49.4,70.5,71.7,54.2,60.6,0.21,8.57
199910,31.7,32.4,60.7,54.2,46.2,43.3,1.17,4.0
199911,28.4,30.4,49.2,48.3,38.8,39.3,2.2,3.23
199912,18.3,18.1,33.5,33.3,25.9,25.7,2.69,1.76
200001,18.4,5.1,32.9,24.9,25.7,15.0,3.41,3.79
200002,23.7,10.0,40.2,31.7,32.0,20.8,3.05,3.51
200003,23.3,23.3,45.7,44.8,34.5,34.1,1.92,2.95
200004,32.4,30.6,58.2,49.0,45.3,39.8,1.5,5.93
200005,38.1,42.1,62.5,63.7,50.3,52.9,2.05,5.7
200006,43.5,49.8,73.6,71.0,58.6,60.4,0.86,3.89
200007,50.0,52.2,83.1,74.0,66.5,63.1,0.35,4.95
200008,49.4,52.9,83.2,73.7,66.3,63.3,0.31,4.33
200009,39.9,44.4,68.1,66.6,54.0,55.5,1.65,2.65
200010,33.0,35.0,55.2,56.2,44.1,45.6,2.77,2.81
200011,16.9,28.1,34.5,41.4,25.7,34.8,1.34,3.19
200012,16.3,7.2,32.1,25.9,24.2,16.6,1.68,4.92
200101,14.1,7.9,31.8,27.6,23.0,17.8,1.37,1.55
200102,15.8,8.9,34.5,30.0,25.1,19.5,1.18,3.07
200103,25.8,16.2,47.2,34.3,36.6,25.2,1.58,5.62
200104,28.8,27.9,51.5,51.8,40.1,39.9,2.33,0.99
200105,37.8,41.6,67.5,68.0,52.6,54.8,1.02,2.44
200106,43.0,51.2,71.9,75.2,57.4,63.2,1.4,3.94
200107,50.8,51.9,80.5,75.2,65.6,63.6,1.12,3.38
200108,51.0,55.2,85.3,80.5,68.2,67.9,0.17,2.25
200109,43.3,45.3,75.4,69.5,59.4,57.4,0.73,4.21
200110,32.4,36.2,56.9,59.3,44.6,47.8,2.22,2.03
200111,27.0,29.5,45.4,47.6,36.2,38.5,2.51,2.5
200112,14.5,21.7,29.7,37.9,22.1,29.8,3.5,2.38
200201,16.0,17.2,30.4,33.3,23.2,25.2,2.97,2.55
200202,13.0,12.8,34.9,35.1,23.9,24.0,1.33,3.28
200203,20.0,20.5,40.2,38.9,30.1,29.7,2.39,3.7
200204,29.6,32.8,53.3,53.9,41.5,43.4,1.98,4.46
200205,35.7,37.9,61.8,60.9,48.7,49.4,1.53,4.56
200206,44.6,49.0,73.0,72.2,58.8,60.6,1.42,7.07
200207,52.8,54.9,85.2,78.2,69.0,66.5,0.51,3.32
200208,46.0,54.4,77.7,79.2,61.8,66.8,0.51,2.0
200209,41.2,48.3,70.6,72.6,55.9,60.4,1.03,4.99
200210,27.8,33.8,54.2,52.0,41.0,42.9,0.63,3.73
200211,23.1,24.8,42.5,39.8,32.8,32.3,1.6,4.76
200212,21.9,12.7,35.8,30.4,28.8,21.6,3.08,2.84
200301,24.2,-0.4,38.6,19.4,31.4,9.5,3.19,2.01
200302,17.6,3.4,36.6,25.1,27.1,14.2,2.01,1.89
200303,26.7,15.8,45.9,39.9,36.3,27.8,3.31,2.69
200304,30.0,27.2,51.6,49.0,40.8,38.1,2.54,2.81
200305,37.0,40.9,62.8,62.9,49.9,51.9,2.02,4.22
200306,44.1,50.0,74.1,73.5,59.1,61.7,0.64,3.12
200307,53.2,55.5,87.7,77.5,70.4,66.5,0.3,4.42
200308,51.6,57.4,83.7,77.2,67.7,67.3,0.96,5.51
200309,41.4,47.5,71.9,69.4,56.7,58.4,0.72,4.87
200310,35.1,34.4,62.2,53.8,48.7,44.1,0.8,6.76
200311,19.4,27.6,37.0,45.4,28.2,36.5,2.45,4.68
200312,21.1,12.6,35.0,31.0,28.1,21.8,3.62,6.84
200401,15.1,-1.8,30.5,16.2,22.8,7.2,2.9,1.2
200402,17.5,5.5,35.2,29.6,26.3,17.5,2.19,1.24
200403,27.2,22.0,51.4,41.3,39.3,31.6,1.1,1.9
200404,31.8,30.5,57.3,52.2,44.6,41.4,1.37,3.22
200405,37.2,43.1,60.6,66.8,48.9,54.9,3.5,5.06
200406,44.2,47.1,72.5,71.7,58.4,59.4,1.43,3.24
200407,50.7,55.6,81.9,75.7,66.3,65.7,0.91,5.54
200408,48.9,54.4,78.5,74.6,63.7,64.5,1.9,7.46
200409,40.4,47.0,67.0,69.6,53.7,58.3,1.55,3.41
200410,33.8,34.6,55.4,56.3,44.6,45.4,2.41,1.5
200411,23.8,25.7,41.6,43.8,32.7,34.8,1.38,3.59
200412,21.2,12.1,35.8,30.7,28.5,21.4,2.54,4.49
200501,18.5,3.8,34.4,23.9,26.5,13.9,1.81,3.0
200502,17.0,9.6,40.0,32.5,28.5,21.1,0.71,2.41
200503,25.0,14.2,46.8,35.9,35.9,25.1,2.44,2.8
200504,29.9,30.9,53.6,55.9,41.7,43.4,2.22,5.04
200505,38.2,38.1,61.6,59.2,49.9,48.7,4.11,2.86
200506,41.5,55.1,67.1,77.9,54.3,66.5,2.44,4.97
200507,50.2,57.5,83.3,79.7,66.8,68.6,0.35,4.22
200508,48.2,56.0,81.4,78.0,64.8,67.0,0.47,4.09
200509,38.9,49.1,69.2,72.1,54.1,60.6,0.93,3.86
200510,33.6,40.2,57.5,55.4,45.5,47.8,1.84,10.23
200511,23.1,27.4,40.7,46.5,32.0,37.0,2.88,5.52
200512,15.2,13.2,30.8,29.4,23.0,21.3,4.38,3.39
200601,20.7,17.0,35.1,34.9,27.9,26.0,4.71,4.57
200602,13.9,12.8,35.0,29.9,24.4,21.3,1.79,2.18
200603,22.6,19.6,42.2,38.3,32.4,28.9,2.69,1.67
200604,31.5,30.8,54.1,55.2,42.8,43.0,3.07,3.25
200605,37.6,44.2,66.0,64.2,51.8,54.2,1.63,6.71
200606,46.1,53.3,75.0,72.5,60.6,62.9,1.74,8.67
200607,53.7,58.3,86.6,80.1,70.1,69.2,0.46,5.01
200608,47.1,52.7,80.4,74.1,63.7,63.4,0.4,4.75
200609,40.1,46.2,70.0,66.6,55.1,56.4,1.25,2.98
200610,31.0,35.2,55.0,53.6,43.0,44.4,1.58,7.28
200611,24.5,32.6,41.7,48.3,33.1,40.5,4.34,3.02
200612,16.6,22.8,34.0,38.2,25.3,30.5,2.72,4.19
200701,10.6,10.4,30.8,28.8,20.7,19.6,1.36,3.49
200702,22.1,3.2,39.6,22.4,30.8,12.8,2.45,2.6
200703,27.2,14.4,50.7,37.2,38.9,25.8,1.45,3.59
200704,30.7,29.6,55.3,47.9,43.0,38.7,1.59,5.16
200705,37.6,39.9,66.3,66.6,52.0,53.3,1.09,3.03
200706,44.4,50.9,74.7,74.9,59.6,62.9,1.23,3.48
200707,55.4,53.8,88.7,75.3,72.0,64.6,0.38,5.81
200708,49.0,52.6,81.7,76.6,65.4,64.6,0.51,3.15
200709,40.4,46.3,69.4,71.3,54.9,58.8,1.26,3.38
200710,32.3,41.0,54.0,61.2,43.1,51.1,2.58,5.66
200711,23.3,24.5,43.8,40.4,33.5,32.4,2.04,4.73
200712,16.4,13.7,30.4,29.2,23.4,21.5,3.62,4.75
200801,11.2,12.2,28.6,30.8,19.9,21.5,3.53,2.39
200802,18.5,11.1,36.7,29.9,27.6,20.5,2.23,6.1
200803,19.9,15.2,40.6,36.3,30.3,25.8,2.28,4.85
200804,23.6,31.8,48.9,57.7,36.3,44.8,1.2,3.53
200805,36.1,36.8,61.7,63.2,48.9,50.0,1.82,1.45
200806,42.2,53.3,70.4,74.2,56.3,63.7,1.43,6.39
200807,49.9,56.4,83.2,77.6,66.5,67.0,0.31,7.26
200808,48.5,52.6,81.1,73.7,64.8,63.1,0.82,5.79
200809,39.7,47.7,71.3,69.2,55.5,58.5,0.77,3.23
200810,31.9,33.7,57.1,54.5,44.5,44.1,1.04,5.14
200811,28.4,27.3,45.7,42.1,37.1,34.7,2.8,2.85
200812,14.2,13.4,30.9,32.3,22.6,22.9,3.74,5.65
200901,16.3,0.5,33.7,21.3,25.0,10.9,2.72,2.77
200902,17.6,10.1,37.5,31.1,27.6,20.6,1.46,2.28
200903,21.3,18.7,41.4,40.6,31.4,29.6,3.17,2.52
200904,29.1,31.4,52.4,55.2,40.7,43.3,1.84,2.54
200905,37.0,40.6,64.7,64.3,50.8,52.5,2.03,5.4
200906,44.1,50.2,68.5,70.3,56.3,60.3,3.51,4.91
200907,50.0,54.2,81.6,73.9,65.8,64.0,0.71,7.07
200908,48.7,55.6,78.9,76.7,63.8,66.2,1.45,4.54
200909,43.9,44.2,76.4,67.5,60.1,55.8,0.35,2.42
200910,29.3,34.9,49.6,50.9,39.5,42.9,2.47,5.09
200911,22.9,30.0,43.0,48.8,33.0,39.4,1.33,4.03
200912,11.5,14.3,28.1,29.4,19.8,21.9,1.84,3.86
201001,20.7,12.7,35.6,27.6,28.2,20.1,2.54,2.51
201002,19.9,17.3,37.8,29.8,28.9,23.5,1.06,3.11
201003,24.1,26.2,46.3,45.6,35.2,35.9,1.86,3.94
201004,28.3,34.2,51.7,58.2,40.0,46.2,2.64,3.32
201005,32.9,42.7,55.3,69.4,44.1,56.0,2.77,2.34
